observation_date,CPIAUCSL
1947-01-01,21.700
1947-04-01,22.010
1947-07-01,22.490
1947-10-01,23.127
1948-01-01,23.617
1948-04-01,23.993
1948-07-01,24.397
1948-10-01,24.173
1949-01-01,23.943
1949-04-01,23.917
1949-07-01,23.717
1949-10-01,23.660
1950-01-01,23.587
1950-04-01,23.767
1950-07-01,24.203
1950-10-01,24.693
1951-01-01,25.697
1951-04-01,25.947
1951-07-01,25.933
1951-10-01,26.317
1952-01-01,26.417
1952-04-01,26.487
1952-07-01,26.667
1952-10-01,26.697
1953-01-01,26.620
1953-04-01,26.720
1953-07-01,26.843
1953-10-01,26.890
1954-01-01,26.953
1954-04-01,26.910
1954-07-01,26.840
1954-10-01,26.757
1955-01-01,26.793
1955-04-01,26.757
1955-07-01,26.777
1955-10-01,26.857
1956-01-01,26.860
1956-04-01,27.037
1956-07-01,27.317
1956-10-01,27.550
1957-01-01,27.777
1957-04-01,28.013
1957-07-01,28.263
1957-10-01,28.400
1958-01-01,28.737
1958-04-01,28.930
1958-07-01,28.913
1958-10-01,28.943
1959-01-01,28.993
1959-04-01,29.043
1959-07-01,29.193
1959-10-01,29.370
1960-01-01,29.397
1960-04-01,29.573
1960-07-01,29.590
1960-10-01,29.780
1961-01-01,29.840
1961-04-01,29.830
1961-07-01,29.947
1961-10-01,29.990
1962-01-01,30.107
1962-04-01,30.220
1962-07-01,30.307
1962-10-01,30.380
1963-01-01,30.477
1963-04-01,30.533
1963-07-01,30.720
1963-10-01,30.803
1964-01-01,30.930
1964-04-01,30.980
1964-07-01,31.050
1964-10-01,31.193
1965-01-01,31.290
1965-04-01,31.490
1965-07-01,31.583
1965-10-01,31.750
1966-01-01,32.047
1966-04-01,32.337
1966-07-01,32.617
1966-10-01,32.883
1967-01-01,32.967
1967-04-01,33.167
1967-07-01,33.500
1967-10-01,33.867
1968-01-01,34.200
1968-04-01,34.533
1968-07-01,35.000
1968-10-01,35.433
1969-01-01,35.867
1969-04-01,36.433
1969-07-01,36.933
1969-10-01,37.500
1970-01-01,38.100
1970-04-01,38.633
1970-07-01,39.033
1970-10-01,39.600
1971-01-01,39.933
1971-04-01,40.300
1971-07-01,40.700
1971-10-01,41.000
1972-01-01,41.333
1972-04-01,41.600
1972-07-01,41.933
1972-10-01,42.367
1973-01-01,43.033
1973-04-01,43.933
1973-07-01,44.800
1973-10-01,45.933
1974-01-01,47.300
1974-04-01,48.567
1974-07-01,49.933
1974-10-01,51.467
1975-01-01,52.567
1975-04-01,53.200
1975-07-01,54.267
1975-10-01,55.267
1976-01-01,55.900
1976-04-01,56.400
1976-07-01,57.300
1976-10-01,58.133
1977-01-01,59.200
1977-04-01,60.233
1977-07-01,61.067
1977-10-01,61.967
1978-01-01,63.033
1978-04-01,64.467
1978-07-01,65.967
1978-10-01,67.500
1979-01-01,69.200
1979-04-01,71.400
1979-07-01,73.700
1979-10-01,76.033
1980-01-01,79.033
1980-04-01,81.700
1980-07-01,83.233
1980-10-01,85.567
1981-01-01,87.933
1981-04-01,89.767
1981-07-01,92.267
1981-10-01,93.767
1982-01-01,94.600
1982-04-01,95.967
1982-07-01,97.633
1982-10-01,97.933
1983-01-01,98.000
1983-04-01,99.133
1983-07-01,100.100
1983-10-01,101.100
1984-01-01,102.533
1984-04-01,103.500
1984-07-01,104.400
1984-10-01,105.300
1985-01-01,106.267
1985-04-01,107.233
1985-07-01,107.900
1985-10-01,109.000
1986-01-01,109.567
1986-04-01,109.033
1986-07-01,109.700
1986-10-01,110.467
1987-01-01,111.800
1987-04-01,113.067
1987-07-01,114.267
1987-10-01,115.333
1988-01-01,116.233
1988-04-01,117.567
1988-07-01,119.000
1988-10-01,120.300
1989-01-01,121.667
1989-04-01,123.633
1989-07-01,124.600
1989-10-01,125.867
1990-01-01,128.033
1990-04-01,129.300
1990-07-01,131.533
1990-10-01,133.767
1991-01-01,134.767
1991-04-01,135.567
1991-07-01,136.600
1991-10-01,137.733
1992-01-01,138.667
1992-04-01,139.733
1992-07-01,140.800
1992-10-01,142.033
1993-01-01,143.067
1993-04-01,144.100
1993-07-01,144.767
1993-10-01,145.967
1994-01-01,146.700
1994-04-01,147.533
1994-07-01,148.900
1994-10-01,149.767
1995-01-01,150.867
1995-04-01,152.100
1995-07-01,152.867
1995-10-01,153.700
1996-01-01,155.067
1996-04-01,156.400
1996-07-01,157.300
1996-10-01,158.667
1997-01-01,159.633
1997-04-01,160.000
1997-07-01,160.800
1997-10-01,161.667
1998-01-01,162.000
1998-04-01,162.533
1998-07-01,163.367
1998-10-01,164.133
1999-01-01,164.733
1999-04-01,165.967
1999-07-01,167.200
1999-10-01,168.433
2000-01-01,170.100
2000-04-01,171.433
2000-07-01,173.000
2000-10-01,174.233
2001-01-01,175.900
2001-04-01,177.133
2001-07-01,177.633
2001-10-01,177.500
2002-01-01,178.067
2002-04-01,179.467
2002-07-01,180.433
2002-10-01,181.500
2003-01-01,183.367
2003-04-01,183.067
2003-07-01,184.433
2003-10-01,185.133
2004-01-01,186.700
2004-04-01,188.167
2004-07-01,189.367
2004-10-01,191.400
2005-01-01,192.367
2005-04-01,193.667
2005-07-01,196.600
2005-10-01,198.433
2006-01-01,199.467
2006-04-01,201.267
2006-07-01,203.167
2006-10-01,202.333
2007-01-01,204.317
2007-04-01,206.631
