"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2025","42,338.55","41,899.05","42,407.80","41,899.05","519.29M","2.64%"
"05/04/2025","41,249.38","41,173.38","41,773.22","40,759.41","2.26B","-0.16%"
"04/27/2025","41,317.43","40,171.74","41,386.19","39,745.63","2.71B","3.00%"
"04/20/2025","40,113.50","38,906.04","40,376.11","37,830.66","2.96B","2.48%"
"04/13/2025","39,142.23","40,546.15","40,791.18","38,950.31","2.59B","-2.66%"
"04/06/2025","40,212.71","37,879.65","40,778.70","36,611.78","5.59B","4.95%"
"03/30/2025","38,314.86","41,382.52","42,382.27","38,264.87","3.97B","-7.86%"
"03/23/2025","41,583.90","42,180.14","42,821.83","41,530.00","2.62B","-0.96%"
"03/16/2025","41,985.35","41,460.22","42,250.29","41,412.75","3.29B","1.20%"
"03/09/2025","41,488.19","42,507.65","42,541.36","40,661.77","3.63B","-3.07%"
"03/02/2025","42,801.72","43,900.49","44,033.78","42,175.62","3.54B","-2.37%"
"02/23/2025","43,840.91","43,493.12","43,884.19","43,100.87","3.39B","0.95%"
"02/16/2025","43,428.02","44,583.91","44,636.19","43,349.33","2.06B","-2.51%"
"02/09/2025","44,546.08","44,396.92","44,769.05","44,104.48","2.38B","0.55%"
"02/02/2025","44,303.40","44,268.15","44,966.63","43,879.06","2.92B","-0.54%"
"01/26/2025","44,544.66","44,148.84","45,054.36","44,026.27","4.32B","0.27%"
"01/19/2025","44,424.25","43,528.65","44,565.26","43,528.65","2.16B","2.15%"
"01/12/2025","43,487.83","41,924.68","43,653.25","41,844.89","2.50B","3.69%"
"01/05/2025","41,938.45","42,835.52","43,115.31","41,877.30","2.19B","-1.86%"
"12/29/2024","42,732.13","42,863.86","42,905.09","42,174.80","1.66B","-0.60%"
"12/22/2024","42,992.21","42,800.49","43,373.98","42,516.87","1.33B","0.35%"
"12/15/2024","42,840.26","43,825.76","43,951.58","42,146.33","3.48B","-2.25%"
"12/08/2024","43,828.06","44,637.97","44,728.51","43,790.48","2.35B","-1.82%"
"12/01/2024","44,642.52","44,925.86","45,073.63","44,574.78","2.35B","-0.60%"
"11/24/2024","44,910.65","44,385.49","45,071.29","44,385.49","2.07B","1.39%"
"11/17/2024","44,296.51","43,431.89","44,323.95","42,938.87","2.83B","1.96%"
"11/10/2024","43,444.99","44,057.65","44,486.70","43,350.43","2.66B","-1.24%"
"11/03/2024","43,988.99","42,004.66","44,157.29","41,647.30","2.07B","4.61%"
"10/27/2024","42,052.19","42,264.54","42,491.86","41,704.63","2.09B","-0.15%"
"10/20/2024","42,114.40","43,222.21","43,310.87","42,051.39","1.56B","-2.68%"
"10/13/2024","43,275.91","42,800.89","43,325.09","42,692.37","1.47B","0.96%"
"10/06/2024","42,863.86","42,289.51","42,899.75","41,831.74","1.37B","1.21%"
"09/29/2024","42,352.75","42,289.75","42,361.38","41,847.81","1.60B","0.09%"
"09/22/2024","42,313.00","42,060.40","42,628.32","41,859.73","1.93B","0.59%"
"09/15/2024","42,063.36","41,435.17","42,160.91","41,435.17","2.90B","1.62%"
"09/08/2024","41,393.78","40,555.11","41,533.84","39,993.07","1.66B","2.60%"
"09/01/2024","40,345.41","41,489.67","41,489.67","40,297.33","1.48B","-2.93%"
"08/25/2024","41,563.08","41,200.84","41,585.21","40,842.29","1.58B","0.94%"
"08/18/2024","41,175.08","40,670.83","41,207.92","40,584.47","1.48B","1.27%"
"08/11/2024","40,659.76","39,556.01","40,726.03","39,251.72","1.77B","2.94%"
"08/04/2024","39,497.54","39,056.19","39,628.66","38,499.27","2.26B","-0.60%"
"07/28/2024","39,737.26","40,665.71","41,198.63","39,358.68","2.37B","-2.10%"
"07/21/2024","40,589.34","40,414.49","40,753.83","39,807.45","1.77B","0.75%"
"07/14/2024","40,287.53","40,138.40","41,376.00","40,136.10","1.83B","0.72%"
"07/07/2024","40,000.90","39,391.98","40,257.24","39,146.60","1.76B","1.59%"
"06/30/2024","39,375.87","39,186.20","39,438.36","39,037.94","1.21B","0.66%"
"06/23/2024","39,118.86","39,184.49","39,571.23","38,908.99","2.11B","-0.08%"
"06/16/2024","39,150.33","38,565.18","39,257.18","38,431.95","1.92B","1.45%"
"06/09/2024","38,589.16","38,784.90","39,120.26","38,305.85","1.82B","-0.54%"
"06/02/2024","38,798.99","38,709.99","39,105.23","38,247.22","1.49B","0.29%"
"05/26/2024","38,686.32","39,028.99","39,028.99","38,000.96","1.59B","-0.98%"
"05/19/2024","39,069.59","39,989.76","40,077.40","39,020.29","1.45B","-2.33%"
"05/12/2024","40,003.59","39,591.28","40,051.05","39,371.92","1.79B","1.24%"
"05/05/2024","39,512.84","38,762.43","39,579.88","38,689.38","1.58B","2.16%"
"04/28/2024","38,675.68","38,282.16","38,808.52","37,780.54","2.02B","1.14%"
"04/21/2024","38,239.66","38,116.89","38,561.50","37,754.38","1.85B","0.67%"
"04/14/2024","37,986.40","38,075.38","38,386.81","37,611.56","1.78B","0.01%"
"04/07/2024","37,983.24","38,916.42","39,013.20","37,877.30","1.75B","-2.37%"
"03/31/2024","38,904.04","39,807.93","39,815.00","38,559.42","1.66B","-2.27%"
"03/24/2024","39,807.37","39,410.54","39,868.59","39,277.19","1.34B","0.84%"
"03/17/2024","39,475.90","38,826.93","39,889.05","38,760.79","1.74B","1.97%"
"03/10/2024","38,714.77","38,667.21","39,201.94","38,483.25","2.13B","-0.02%"
"03/03/2024","38,722.69","38,968.77","39,087.86","38,457.83","1.85B","-0.93%"
"02/25/2024","39,087.38","39,144.79","39,245.89","38,741.68","1.70B","-0.11%"
"02/18/2024","39,131.53","38,576.26","39,282.28","38,338.58","1.25B","1.30%"
"02/11/2024","38,627.99","38,656.76","38,927.08","38,039.86","1.48B","-0.11%"
"02/04/2024","38,671.69","38,546.77","38,755.68","38,220.40","1.53B","0.04%"
"01/28/2024","38,654.42","38,115.83","38,783.62","38,061.17","1.82B","1.43%"
"01/21/2024","38,109.43","37,919.55","38,215.31","37,795.71","1.81B","0.65%"
"01/14/2024","37,863.80","37,493.54","37,933.73","37,122.95","1.39B","0.72%"
"01/07/2024","37,592.98","37,327.37","37,825.27","37,249.24","1.52B","0.34%"
"12/31/2023","37,466.11","37,566.22","37,790.08","37,323.82","1.36B","-0.59%"
"12/24/2023","37,689.54","37,405.90","37,778.85","37,371.83","901.80M","0.81%"
"12/17/2023","37,385.97","37,330.14","37,641.30","37,073.04","1.39B","0.22%"
"12/10/2023","37,305.16","36,254.33","37,347.60","36,231.19","2.24B","2.92%"
"12/03/2023","36,247.87","36,089.38","36,296.20","36,010.85","1.51B","0.01%"
"11/26/2023","36,245.50","35,376.44","36,264.85","35,280.57","1.58B","2.42%"
"11/19/2023","35,390.15","34,932.49","35,399.44","34,907.98","965.10M","1.27%"
"11/12/2023","34,947.28","34,259.25","35,051.10","34,205.81","1.71B","1.94%"
"11/05/2023","34,283.10","34,092.61","34,310.36","33,859.77","1.47B","0.65%"
"10/29/2023","34,061.32","32,537.54","34,163.63","32,537.54","1.54B","5.07%"
"10/22/2023","32,417.59","32,993.02","33,272.19","32,327.20","1.82B","-2.14%"
"10/15/2023","33,127.28","33,832.42","34,147.63","33,118.12","1.48B","-1.61%"
"10/08/2023","33,670.29","33,259.84","33,957.72","33,253.69","1.34B","0.79%"
"10/01/2023","33,407.58","33,455.50","33,557.69","32,846.94","1.47B","-0.30%"
"09/24/2023","33,507.50","33,907.59","34,017.53","33,306.30","1.42B","-1.34%"
"09/17/2023","33,963.84","34,612.29","34,776.28","33,947.24","1.44B","-1.89%"
"09/10/2023","34,618.24","34,650.01","34,977.97","34,509.95","1.81B","0.12%"
"09/03/2023","34,576.59","34,843.22","34,871.26","34,291.56","1.28B","-0.75%"
"08/27/2023","34,837.71","34,441.64","35,070.21","34,441.64","1.37B","1.43%"
"08/20/2023","34,346.90","34,531.28","34,694.68","34,029.22","1.67B","-0.45%"
"08/13/2023","34,500.66","35,273.89","35,335.45","34,263.19","1.69B","-2.21%"
"08/06/2023","35,281.40","35,125.60","35,578.58","35,007.41","1.55B","0.62%"
"07/30/2023","35,065.62","35,465.97","35,679.13","35,033.76","1.50B","-1.11%"
"07/23/2023","35,459.29","35,230.79","35,645.35","35,216.58","1.66B","0.66%"
"07/16/2023","35,227.69","34,499.74","35,372.77","34,418.72","1.94B","2.08%"
"07/09/2023","34,509.03","33,705.68","34,592.26","33,705.68","1.50B","2.29%"
"07/02/2023","33,734.88","34,369.78","34,465.60","33,716.75","1.01B","-1.96%"
"06/25/2023","34,407.60","33,730.79","34,467.35","33,610.32","1.47B","2.02%"
"06/18/2023","33,727.43","34,206.66","34,206.66","33,646.49","1.33B","-1.67%"
"06/11/2023","34,299.12","33,906.80","34,588.68","33,783.55","1.95B","1.25%"
"06/04/2023","33,876.78","33,771.13","33,975.32","33,399.69","1.55B","0.34%"
"05/28/2023","33,762.76","33,103.65","33,805.00","32,704.51","1.76B","2.02%"
"05/21/2023","33,093.34","33,408.54","33,512.30","32,586.56","1.52B","-1.00%"
"05/14/2023","33,426.63","33,321.21","33,652.90","33,006.19","1.43B","0.38%"
"05/07/2023","33,300.62","33,715.15","33,772.09","33,110.61","1.28B","-1.11%"
"04/30/2023","33,674.38","34,116.81","34,257.83","32,937.50","1.45B","-1.24%"
"04/23/2023","34,098.16","33,805.04","34,104.56","33,235.85","1.59B","0.86%"
"04/16/2023","33,808.96","33,930.46","34,018.62","33,677.74","1.35B","-0.23%"
"04/09/2023","33,886.47","33,425.25","34,082.94","33,343.43","1.29B","1.20%"
"04/02/2023","33,485.29","33,245.78","33,634.72","33,245.78","1.15B","0.63%"
"03/26/2023","33,274.15","32,276.72","33,291.00","32,276.72","1.50B","3.22%"
"03/19/2023","32,237.53","31,872.33","32,761.89","31,805.18","1.71B","1.18%"
"03/12/2023","31,861.98","31,819.93","32,306.59","31,429.82","2.42B","-0.15%"
"03/05/2023","31,909.64","33,425.32","33,572.22","31,783.41","1.59B","-4.44%"
"02/26/2023","33,390.97","32,906.16","33,405.82","32,500.71","1.47B","1.75%"
"02/19/2023","32,816.92","33,699.69","33,699.69","32,643.48","1.24B","-2.99%"
"02/12/2023","33,826.69","33,887.39","34,331.47","33,517.73","1.49B","-0.13%"
"02/05/2023","33,869.27","33,874.44","34,252.57","33,591.99","1.62B","-0.17%"
"01/29/2023","33,926.01","33,909.21","34,334.70","33,581.42","1.94B","-0.15%"
"01/22/2023","33,978.08","33,439.56","34,164.33","33,273.21","1.79B","1.81%"
"01/15/2023","33,375.49","34,222.32","34,269.97","32,948.93","1.40B","-2.70%"
"01/08/2023","34,302.61","33,664.39","34,342.32","33,421.80","1.48B","2.00%"
"01/01/2023","33,630.61","33,148.90","33,710.66","32,812.33","1.45B","1.46%"
"12/25/2022","33,147.25","33,224.23","33,387.72","32,847.82","1.04B","-0.17%"
"12/18/2022","33,203.93","32,921.45","33,437.84","32,573.43","1.53B","0.86%"
"12/11/2022","32,920.46","33,519.50","34,712.28","32,654.59","2.29B","-1.66%"
"12/04/2022","33,476.46","34,335.73","34,335.73","33,418.59","1.48B","-2.77%"
"11/27/2022","34,429.88","34,275.91","34,595.51","33,583.77","1.78B","0.24%"
"11/20/2022","34,347.03","33,760.30","34,386.51","33,559.18","1.00B","1.78%"
"11/13/2022","33,745.69","33,662.05","33,987.06","33,239.75","1.69B","-0.01%"
"11/06/2022","33,747.86","32,454.10","33,817.96","32,424.99","1.96B","4.15%"
"10/30/2022","32,403.22","32,754.27","33,071.93","31,727.05","1.90B","-1.40%"
"10/23/2022","32,861.80","31,187.32","32,889.81","31,161.41","2.01B","5.72%"
"10/16/2022","31,082.56","30,059.58","31,119.27","29,997.62","1.83B","4.89%"
"10/09/2022","29,634.83","29,419.09","30,428.82","28,660.94","1.84B","1.15%"
"10/02/2022","29,296.79","28,855.25","30,454.46","28,855.25","1.75B","1.99%"
"09/25/2022","28,725.51","29,536.84","29,811.78","28,715.85","2.03B","-2.92%"
"09/18/2022","29,590.41","30,722.86","31,026.89","29,250.47","1.70B","-4.00%"
"09/11/2022","30,822.42","32,159.49","32,504.04","30,550.08","2.11B","-4.13%"
"09/04/2022","32,151.71","31,343.79","32,227.74","31,048.46","1.36B","2.66%"
"08/28/2022","31,318.44","32,188.00","32,325.16","31,182.09","1.69B","-2.99%"
"08/21/2022","32,283.40","33,586.59","33,586.59","32,278.22","1.48B","-4.22%"
"08/14/2022","33,706.74","33,710.70","34,281.36","33,582.96","1.42B","-0.16%"
"08/07/2022","33,761.05","32,877.36","33,767.09","32,702.66","1.49B","2.92%"
"07/31/2022","32,803.47","32,755.71","32,972.03","32,387.12","1.59B","-0.13%"
"07/24/2022","32,845.13","31,950.93","32,910.18","31,705.36","1.80B","2.97%"
"07/17/2022","31,899.29","31,475.98","32,219.25","30,982.97","1.63B","1.95%"
"07/10/2022","31,288.26","31,277.98","31,367.55","30,143.93","1.53B","-0.16%"
"07/03/2022","31,338.15","30,903.12","31,511.46","30,355.12","1.16B","0.77%"
