"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2025","5,834.25","5,833.53","5,841.62","5,786.39","","3.08%"
"05/04/2025","5,659.91","5,655.32","5,720.10","5,578.64","","-0.47%"
"04/27/2025","5,686.67","5,529.22","5,700.70","5,433.24","","2.92%"
"04/20/2025","5,525.21","5,232.94","5,528.11","5,101.63","","4.59%"
"04/13/2025","5,282.70","5,441.96","5,459.46","5,220.79","","-1.50%"
"04/06/2025","5,363.36","4,953.79","5,481.34","4,835.04","","5.70%"
"03/30/2025","5,074.08","5,527.91","5,695.31","5,069.90","","-9.08%"
"03/23/2025","5,580.94","5,718.08","5,786.95","5,572.42","","-1.53%"
"03/16/2025","5,667.56","5,635.60","5,715.33","5,597.76","","0.51%"
"03/09/2025","5,638.94","5,705.37","5,705.37","5,504.65","","-2.27%"
"03/02/2025","5,770.20","5,968.33","5,986.09","5,666.29","","-3.10%"
"02/23/2025","5,954.50","6,026.69","6,043.65","5,837.66","","-0.98%"
"02/16/2025","6,013.13","6,121.60","6,147.43","6,008.56","","-1.66%"
"02/09/2025","6,114.63","6,046.40","6,127.47","6,003.00","","1.47%"
"02/02/2025","6,025.99","5,969.65","6,101.28","5,923.93","","-0.24%"
"01/26/2025","6,040.53","5,969.04","6,120.91","5,962.92","","-1.00%"
"01/19/2025","6,101.24","6,014.12","6,128.18","6,006.88","","1.74%"
"01/12/2025","5,996.66","5,782.02","6,014.96","5,773.31","","2.91%"
"01/05/2025","5,827.04","5,982.81","6,021.04","5,807.78","","-1.94%"
"12/29/2024","5,942.47","5,920.67","5,949.34","5,829.53","","-0.48%"
"12/22/2024","5,970.84","5,940.25","6,049.75","5,902.57","","0.67%"
"12/15/2024","5,930.85","6,063.79","6,085.19","5,832.30","","-1.99%"
"12/08/2024","6,051.09","6,083.01","6,092.59","6,029.89","","-0.64%"
"12/01/2024","6,090.27","6,040.11","6,099.97","6,033.39","","0.96%"
"11/24/2024","6,032.38","5,992.28","6,044.17","5,963.91","","1.06%"
"11/17/2024","5,969.34","5,874.17","5,972.90","5,855.29","","1.68%"
"11/10/2024","5,870.62","6,008.86","6,017.31","5,853.01","","-2.08%"
"11/03/2024","5,995.54","5,725.15","6,012.45","5,696.51","","4.66%"
"10/27/2024","5,728.80","5,833.93","5,850.94","5,702.86","","-1.37%"
"10/20/2024","5,808.12","5,857.82","5,866.92","5,762.41","","-0.96%"
"10/13/2024","5,864.67","5,829.81","5,878.46","5,804.48","","0.85%"
"10/06/2024","5,815.03","5,737.80","5,822.13","5,686.85","","1.11%"
"09/29/2024","5,751.07","5,726.52","5,765.14","5,674.00","","0.22%"
"09/22/2024","5,738.17","5,711.90","5,767.37","5,698.99","","0.62%"
"09/15/2024","5,702.55","5,615.21","5,733.57","5,604.53","","1.36%"
"09/08/2024","5,626.02","5,442.07","5,636.27","5,406.96","","4.02%"
